class,precision,recall,f1_score,support
macro,0.14127333414052276,0.2014432641471595,0.12943257589514393,0
fold 4,,,,
0,0.9177,0.9595,0.9381,8835
1,0.0568,0.3857,0.0991,70
2,0.0,0.0,0.0,635
3,0.0029,0.3333,0.0058,3
4,0.2054,1.0,0.3409,68
5,0.022,0.2857,0.0408,7
6,0.028,0.0556,0.0373,54
7,0.0121,1.0,0.024,6
8,0.0244,0.1111,0.04,9
9,0.0,0.0,0.0,23
10,0.7175,0.5071,0.5942,631
11,0.0095,0.4211,0.0185,19
12,0.0087,0.8889,0.0172,18
13,0.2273,0.25,0.2381,20
14,0.1789,0.5615,0.2714,130
15,0.7155,0.2279,0.3457,4261
16,0.0,0.0,0.0,969
17,0.0,0.0,0.0,7
18,0.0876,0.6452,0.1543,124
19,0.7778,0.0504,0.0946,139
20,0.0,0.0,0.0,164
21,0.1818,0.058,0.0879,69
22,0.0,0.0,0.0,4
23,0.0,0.0,0.0,9
24,0.0,0.0,0.0,7
25,0.0,0.0,0.0,207
26,0.0,0.0,0.0,377
27,0.0,0.0,0.0,2
28,0.0,0.0,0.0,8
29,0.0,0.0,0.0,13
30,0.0,0.0,0.0,44
31,0.0,0.0,0.0,3
32,0.0,0.0,0.0,5
33,0.0,0.0,0.0,14
34,0.0,0.0,0.0,14
35,0.0,0.0,0.0,1
36,0.0,0.0,0.0,13
37,0.0,0.0,0.0,3
macro,0.10984348949457645,0.203707690273758,0.08810005553257871,0
fold 5,,,,
0,0.9295,0.9544,0.9418,8835
1,0.0173,0.1695,0.0314,59
2,0.9892,0.9923,0.9908,649
3,0.0042,0.3333,0.0082,6
4,0.8857,1.0,0.9394,93
5,0.0149,0.5,0.029,2
6,0.0391,0.1273,0.0598,55
7,0.0036,0.8333,0.0071,6
8,0.0,0.0,0.0,3
9,0.0,0.0,0.0,18
10,0.1254,0.1262,0.1258,618
11,0.0,0.0,0.0,10
12,0.0111,0.9583,0.0219,24
13,0.0,0.0,0.0,27
14,0.6024,0.7407,0.6645,135
15,0.7667,0.2093,0.3289,4175
16,0.6667,0.002,0.004,991
17,0.0,0.0,0.0,4
18,0.0609,0.1959,0.0929,97
19,1.0,0.0465,0.0889,129
20,0.3235,0.0769,0.1243,143
21,0.9231,0.2727,0.4211,88
22,0.0,0.0,0.0,6
23,0.0,0.0,0.0,10
24,0.0,0.0,0.0,5
25,0.0,0.0,0.0,240
26,0.0,0.0,0.0,418
27,0.0,0.0,0.0,1
28,0.0,0.0,0.0,2
29,0.0,0.0,0.0,26
30,0.0,0.0,0.0,42
31,0.0,0.0,0.0,10
32,0.0,0.0,0.0,4
33,0.0,0.0,0.0,16
34,0.0,0.0,0.0,9
35,0.0,0.0,0.0,3
36,0.0,0.0,0.0,21
37,0.0,0.0,0.0,5
macro,0.1937678796490439,0.19838942466814696,0.1284110113656539,0
fold 6,,,,
0,0.9259,0.9488,0.9372,8835
1,0.0095,0.0208,0.0131,48
